baseDate,baseTime,fcstDate,fcstTime,nx,ny,TMP,UUU,VVV,VEC,WSD,SKY,PTY,POP,WAV,PCP,REH,SNO,TMX,TMN
20240227,0500,20240227,0600,56,80,1,-1.5,0.3,101,1.6,3,0,20,0,강수없음,80,적설없음,,
20240227,0500,20240227,0700,56,80,1,-1.5,0.3,101,1.6,4,0,30,0,강수없음,80,적설없음,,
20240227,0500,20240227,0800,56,80,1,-2,0.6,106,2.2,3,0,20,0,강수없음,80,적설없음,,
20240227,0500,20240227,0900,56,80,3,-2.9,1.1,110,3.2,3,0,20,0,강수없음,70,적설없음,,
20240227,0500,20240227,1000,56,80,5,-3,1.3,113,3.4,3,0,20,0,강수없음,60,적설없음,,
20240227,0500,20240227,1100,56,80,8,-2.7,1.4,117,3.1,3,0,20,0,강수없음,50,적설없음,,
20240227,0500,20240227,1200,56,80,9,-2.7,1.3,115,3.1,3,0,20,0,강수없음,45,적설없음,,
20240227,0500,20240227,1300,56,80,10,-2.2,1,113,2.5,3,0,20,0,강수없음,45,적설없음,,
20240227,0500,20240227,1400,56,80,10,-2,0.7,108,2.2,4,0,30,0,강수없음,45,적설없음,,
20240227,0500,20240227,1500,56,80,10,-1.7,0.5,106,1.9,4,0,30,0,강수없음,45,적설없음,11.0,
20240227,0500,20240227,1600,56,80,10,-2,0.3,98,2.1,4,0,30,0,강수없음,45,적설없음,,
20240227,0500,20240227,1700,56,80,9,-2,0.4,101,2.1,4,0,30,0,강수없음,40,적설없음,,
20240227,0500,20240227,1800,56,80,8,-1,0.3,105,1.1,4,0,30,0,강수없음,50,적설없음,,
20240227,0500,20240227,1900,56,80,7,-1.2,0.8,122,1.5,4,0,30,0,강수없음,55,적설없음,,
20240227,0500,20240227,2000,56,80,5,-0.9,0.8,129,1.3,4,0,30,0,강수없음,60,적설없음,,
20240227,0500,20240227,2100,56,80,4,-0.9,0.9,132,1.3,4,0,30,0,강수없음,65,적설없음,,
20240227,0500,20240227,2200,56,80,3,-1,1,132,1.5,3,0,20,0,강수없음,65,적설없음,,
20240227,0500,20240227,2300,56,80,3,-1.1,0.9,127,1.5,3,0,20,0,강수없음,70,적설없음,,
20240227,0500,20240228,0000,56,80,2,-1.3,1,126,1.7,3,0,20,0,강수없음,75,적설없음,,
20240227,0500,20240228,0100,56,80,1,-1.3,1,126,1.7,3,0,20,0,강수없음,75,적설없음,,
20240227,0500,20240228,0200,56,80,1,-1.2,1,128,1.6,3,0,20,0,강수없음,80,적설없음,,
20240227,0500,20240228,0300,56,80,1,-1.2,1,128,1.6,4,0,30,0,강수없음,80,적설없음,,
20240227,0500,20240228,0400,56,80,1,-1.4,0.8,118,1.7,4,0,30,0,강수없음,80,적설없음,,
20240227,0500,20240228,0500,56,80,0,-1.4,0.4,105,1.6,4,0,30,0,강수없음,80,적설없음,,
20240227,0500,20240228,0600,56,80,0,-1.3,0.3,102,1.4,4,0,30,0,강수없음,80,적설없음,,0.0
20240227,0500,20240228,0700,56,80,0,-1.2,0.4,107,1.4,4,0,30,0,강수없음,85,적설없음,,
20240227,0500,20240228,0800,56,80,1,-1.5,0.4,104,1.6,4,0,30,0,강수없음,80,적설없음,,
20240227,0500,20240228,0900,56,80,3,-2,0.9,113,2.3,4,0,30,0,강수없음,75,적설없음,,
20240227,0500,20240228,1000,56,80,5,-2,0.8,111,2.2,4,0,30,0,강수없음,65,적설없음,,
20240227,0500,20240228,1100,56,80,8,-2.2,0.9,111,2.5,4,0,30,0,강수없음,50,적설없음,,
20240227,0500,20240228,1200,56,80,10,-2,0.8,111,2.2,3,0,20,0,강수없음,45,적설없음,,
20240227,0500,20240228,1300,56,80,11,-1.7,0.4,103,1.8,3,0,20,0,강수없음,45,적설없음,,
